Week of Order,Confirmed Demand,Delayed Demand,Unconfirmed Demand
202113,0.00 USD,29374944.00 USD,0.00 USD
202114,0.00 USD,23984644.00 USD,0.00 USD
202115,0.00 USD,24120022.00 USD,0.00 USD
202116,0.00 USD,24102227.00 USD,0.00 USD
202117,4222241.00 USD,19484891.00 USD,0.00 USD
202118,14493296.00 USD,8193509.00 USD,0.00 USD
202119,13846368.00 USD,8831340.00 USD,0.00 USD
202120,13204968.00 USD,7428859.00 USD,0.00 USD
202121,13585947.00 USD,9123697.00 USD,0.00 USD
202122,14159630.00 USD,12968332.00 USD,0.00 USD
202123,17436146.00 USD,10505365.00 USD,0.00 USD
202124,16972890.00 USD,10885029.00 USD,0.00 USD
202125,16500800.00 USD,11345621.00 USD,0.00 USD
202126,16531985.00 USD,11277960.00 USD,0.00 USD
202127,15808310.00 USD,10092279.00 USD,0.00 USD
202128,17206503.00 USD,10461053.00 USD,0.00 USD
202129,17389018.00 USD,10365200.00 USD,0.00 USD
202130,14197724.00 USD,10334193.00 USD,0.00 USD
202131,20912716.00 USD,12046525.00 USD,0.00 USD
202132,17882825.00 USD,15151741.00 USD,0.00 USD
202133,19603142.00 USD,13383687.00 USD,0.00 USD
202134,17904800.00 USD,15141172.00 USD,0.00 USD
202135,16783619.00 USD,12870809.00 USD,0.00 USD
202136,17713193.00 USD,10544671.00 USD,0.00 USD
202137,17174276.00 USD,11075551.00 USD,0.00 USD
202138,16333746.00 USD,11943468.00 USD,0.00 USD
202139,17018570.00 USD,8522270.00 USD,0.00 USD
202140,14841054.00 USD,8612285.00 USD,0.00 USD
202141,15184180.00 USD,9404650.00 USD,0.00 USD
202142,15026581.00 USD,9884259.00 USD,0.00 USD
202143,13990567.00 USD,10803306.00 USD,0.00 USD
202144,10806110.00 USD,11163120.00 USD,0.00 USD
202145,13514860.00 USD,8588508.00 USD,0.00 USD
202146,13833992.00 USD,8206743.00 USD,0.00 USD
202147,13078039.00 USD,9002640.00 USD,0.00 USD
202148,13103395.00 USD,6956038.00 USD,0.00 USD
202149,11310967.00 USD,8007342.00 USD,0.00 USD
202150,10919790.00 USD,8367839.00 USD,0.00 USD
202151,11386281.00 USD,7942176.00 USD,0.00 USD
202152,7973075.00 USD,13784891.00 USD,0.00 USD
202201,0.00 USD,25875611.00 USD,0.00 USD
202202,0.00 USD,26706682.00 USD,0.00 USD
202203,4398231.00 USD,21801338.00 USD,0.00 USD
202204,15237203.00 USD,10330115.00 USD,0.00 USD
202205,18932505.00 USD,13560252.00 USD,0.00 USD
202206,19850391.00 USD,13156941.00 USD,0.00 USD
202207,20386280.00 USD,10488789.00 USD,0.00 USD
202208,19068903.00 USD,11523777.00 USD,0.00 USD
202209,19378764.00 USD,15438282.00 USD,0.00 USD
202210,20474795.00 USD,15816381.00 USD,0.00 USD
202211,21857213.00 USD,57201528.00 USD,0.00 USD
202212,23752939.00 USD,77152177.00 USD,0.00 USD
202213,9043436.00 USD,78293542.00 USD,0.00 USD
202214,0.00 USD,88315060.00 USD,0.00 USD
202215,0.00 USD,83932790.00 USD,0.00 USD
202216,0.00 USD,78138788.00 USD,0.00 USD
202217,8722961.00 USD,71878676.00 USD,0.00 USD
202218,43900741.00 USD,27420592.00 USD,0.00 USD
202219,48684116.00 USD,32413525.00 USD,0.00 USD
202220,40310435.00 USD,36304728.00 USD,0.00 USD
202221,45947757.00 USD,33867158.00 USD,0.00 USD
202222,51590945.00 USD,35804696.00 USD,0.00 USD
202223,58146503.00 USD,40414915.00 USD,0.00 USD
202224,56576751.00 USD,36335366.00 USD,0.00 USD
202225,56763855.00 USD,35911634.00 USD,0.00 USD
202226,57068333.00 USD,41409553.00 USD,0.00 USD
202227,59574161.00 USD,33307615.00 USD,0.00 USD
202228,62261789.00 USD,35060181.00 USD,0.00 USD
202229,55453574.00 USD,44266947.00 USD,0.00 USD
202230,46057087.00 USD,38070391.00 USD,0.00 USD
202231,46296247.00 USD,34973682.00 USD,0.00 USD
202232,55645310.00 USD,27878527.00 USD,0.00 USD
202233,51822041.00 USD,27891028.00 USD,0.00 USD
202234,55157988.00 USD,29039928.00 USD,0.00 USD
202235,43414915.00 USD,33150193.00 USD,0.00 USD
202236,45414880.00 USD,30174407.00 USD,0.00 USD
202237,40836885.00 USD,31229329.00 USD,0.00 USD
202238,48748995.00 USD,35790018.00 USD,0.00 USD
202239,46223763.00 USD,32471380.00 USD,0.00 USD
202240,46016716.00 USD,33838899.00 USD,0.00 USD
202241,56125339.00 USD,30495358.00 USD,0.00 USD
202242,61929654.00 USD,27398067.00 USD,0.00 USD
202243,42293196.00 USD,36460862.00 USD,0.00 USD
202244,39590729.00 USD,35115291.00 USD,0.00 USD
202245,41802603.00 USD,29110642.00 USD,0.00 USD
202246,48492920.00 USD,26022102.00 USD,0.00 USD
202247,42709683.00 USD,27745264.00 USD,0.00 USD
202248,42295289.00 USD,25716935.00 USD,0.00 USD
202249,41660007.00 USD,18029630.00 USD,0.00 USD
202250,37186845.00 USD,20909120.00 USD,0.00 USD
202251,34082274.00 USD,26792246.00 USD,0.00 USD
202252,31272189.00 USD,34232195.00 USD,0.00 USD
202301,0.00 USD,93502916.00 USD,0.00 USD
202302,0.00 USD,84599455.00 USD,0.00 USD
202303,0.00 USD,79212521.00 USD,0.00 USD
202304,0.00 USD,80324936.00 USD,0.00 USD
202305,18273995.00 USD,71550614.00 USD,0.00 USD
202306,56394390.00 USD,39885141.00 USD,0.00 USD
202307,60448399.00 USD,40636770.00 USD,0.00 USD
202308,53780325.00 USD,40808658.00 USD,0.00 USD
202309,63763149.00 USD,42278573.00 USD,0.00 USD
202310,56355892.00 USD,16103898.35 USD,0.00 USD
202311,63064188.00 USD,15286268.54 USD,0.00 USD
202312,62286808.00 USD,16619058.85 USD,0.00 USD
202313,50128592.00 USD,24021018.26 USD,0.00 USD
202314,43130104.34 USD,11207012.10 USD,0.00 USD
202315,37409097.92 USD,11028375.95 USD,0.00 USD
202316,41324876.13 USD,8975105.78 USD,0.00 USD
202317,33414343.03 USD,13063522.12 USD,0.00 USD
202318,43619230.17 USD,10454966.47 USD,0.00 USD
202319,25991723.63 USD,12167156.40 USD,0.00 USD
202320,24794141.61 USD,9697889.97 USD,0.00 USD
202321,33245206.59 USD,8860614.54 USD,0.00 USD
202322,25688973.97 USD,12777722.27 USD,0.00 USD
202323,21568746.97 USD,13884189.46 USD,0.00 USD
202324,31649435.13 USD,11774009.58 USD,0.00 USD
202325,25792740.88 USD,10523733.83 USD,0.00 USD
202326,22278407.37 USD,14194460.17 USD,0.00 USD
202327,27641780.14 USD,10052730.46 USD,0.00 USD
202328,23322849.10 USD,9791123.47 USD,0.00 USD
202329,19933486.32 USD,8023377.75 USD,0.00 USD
202330,19887293.86 USD,8241346.31 USD,0.00 USD
202331,16778250.66 USD,8958823.66 USD,0.00 USD
202332,18921181.29 USD,10842703.32 USD,0.00 USD
202333,17183087.30 USD,12196652.82 USD,0.00 USD
202334,21401016.42 USD,11935105.61 USD,0.00 USD
202335,23733539.51 USD,6630110.13 USD,0.00 USD
202336,13848475.19 USD,8190840.11 USD,0.00 USD
202337,18677168.41 USD,7952902.68 USD,0.00 USD
202338,18266181.30 USD,9508014.31 USD,0.00 USD
202339,15810371.14 USD,9706714.76 USD,0.00 USD
202340,17503461.80 USD,9958277.12 USD,0.00 USD
202341,16726784.02 USD,9524827.42 USD,0.00 USD
202342,14672411.52 USD,8692051.19 USD,0.00 USD
202343,18361711.93 USD,8708281.80 USD,0.00 USD
202344,15425688.52 USD,11254785.24 USD,0.00 USD
202345,13781044.58 USD,10920845.59 USD,0.00 USD
202346,14996948.21 USD,8590329.64 USD,0.00 USD
202347,13217828.89 USD,10601050.18 USD,0.00 USD
202348,12173576.98 USD,9289911.83 USD,0.00 USD
202349,12214989.48 USD,8920185.98 USD,0.00 USD
202350,11716474.92 USD,9387942.56 USD,0.00 USD
202351,13730220.22 USD,7154396.91 USD,0.00 USD
202352,12289643.85 USD,9310650.20 USD,0.00 USD
202401,0.00 USD,30124845.22 USD,0.00 USD
202402,0.00 USD,30657433.00 USD,0.00 USD
202403,4782357.28 USD,19765310.00 USD,0.00 USD
202404,21221716.22 USD,11072870.00 USD,0.00 USD
202405,21722593.69 USD,12359781.00 USD,0.00 USD
202406,24413411.00 USD,14304619.00 USD,0.00 USD
202407,17835625.00 USD,20161563.00 USD,0.00 USD
202408,21454388.10 USD,15119561.00 USD,0.00 USD
202409,22192831.71 USD,12423495.00 USD,0.00 USD
202410,26112804.00 USD,18797676.00 USD,0.00 USD
202411,23774844.00 USD,15720720.00 USD,0.00 USD
202412,24848954.08 USD,14195022.00 USD,0.00 USD
202413,23763086.36 USD,16031432.00 USD,0.00 USD
202414,14958540.32 USD,10936226.00 USD,0.00 USD
202415,15576472.00 USD,10263412.00 USD,0.00 USD
202416,18089421.69 USD,11874478.00 USD,0.00 USD
202417,18421968.30 USD,9432982.00 USD,0.00 USD
202418,17240638.35 USD,8934071.00 USD,0.00 USD
202419,16651780.00 USD,9044271.00 USD,0.00 USD
202420,16361883.00 USD,8750030.00 USD,0.00 USD
202421,15073735.81 USD,9628826.00 USD,0.00 USD
202422,17131280.80 USD,10184161.00 USD,0.00 USD
202423,21908909.00 USD,12010167.00 USD,0.00 USD
202424,22397992.00 USD,11133693.00 USD,0.00 USD
202425,19801288.00 USD,13386599.00 USD,0.00 USD
202426,21307816.00 USD,11308540.00 USD,0.00 USD
202427,21055966.88 USD,9897964.00 USD,0.00 USD
202428,21727904.00 USD,11598678.00 USD,0.00 USD
202429,20822967.00 USD,11577767.00 USD,0.00 USD
202430,21394531.00 USD,12892401.00 USD,0.00 USD
202431,18788620.00 USD,8613397.00 USD,0.00 USD
202432,20469851.00 USD,14069848.00 USD,0.00 USD
202433,23507707.00 USD,10854667.00 USD,0.00 USD
202434,22668664.00 USD,11860434.00 USD,0.00 USD
202435,20512604.00 USD,13633903.00 USD,0.00 USD
202436,18339212.00 USD,13829663.00 USD,0.00 USD
202437,18370252.00 USD,12692839.00 USD,0.00 USD
202438,17383171.00 USD,1503878.00 USD,0.00 USD
202439,18195903.00 USD,9607583.00 USD,0.00 USD
202440,18248958.00 USD,13659741.00 USD,0.00 USD
202441,19610736.00 USD,10415474.00 USD,0.00 USD
202442,16727019.45 USD,22194296.91 USD,580.00 USD
202443,13662877.00 USD,19335617.03 USD,1400.00 USD
202444,17028103.00 USD,15440698.30 USD,465.00 USD
202445,15126313.90 USD,10056998.10 USD,4675.52 USD
202446,16197856.00 USD,10854357.65 USD,3355.27 USD
202447,15514872.00 USD,14664241.50 USD,700.00 USD
202448,18476930.83 USD,18357889.20 USD,4820.10 USD
202449,12859997.00 USD,9876091.80 USD,39502.22 USD
202450,12821778.00 USD,8681736.00 USD,482.55 USD
202451,12659253.00 USD,26684919.20 USD,17950.00 USD
202452,14214353.00 USD,10686538.80 USD,0.00 USD
202501,4461138.00 USD,27563549.00 USD,177902.72 USD
202502,62000.00 USD,34298443.53 USD,1.15 USD
202503,12407416.50 USD,21964236.00 USD,15257.00 USD
202504,19327650.75 USD,11708723.25 USD,25230.00 USD
202505,21451746.00 USD,13990339.77 USD,30998.25 USD
202506,26775602.50 USD,18404804.97 USD,53932.55 USD
202507,20911128.00 USD,22258015.54 USD,74895.00 USD
202508,36183187.00 USD,46971726.35 USD,39019.15 USD
202509,25418833.10 USD,37990827.95 USD,7545.00 USD
202510,33023191.80 USD,14544203.20 USD,217.00 USD
202511,31864011.65 USD,20730305.84 USD,5066.65 USD
202512,26673700.33 USD,16432595.10 USD,28.00 USD
202513,21995138.24 USD,22893144.00 USD,869.00 USD
202514,18347153.00 USD,15924762.85 USD,0.00 USD
202515,755443537.27 USD,550983290.62 USD,1581916.12 USD
202516,111418856.90 USD,16003043.70 USD,12450275.51 USD
202517,18294539.00 USD,12628929.15 USD,17.55 USD
202518,17761961.50 USD,12255193.75 USD,24825.50 USD
202519,17355122.00 USD,10129032.00 USD,16820.10 USD
202520,18516047.00 USD,13487274.20 USD,23727.55 USD
202521,19207213.18 USD,9687813.83 USD,8687.00 USD
202522,17140449.56 USD,13047017.42 USD,20024.69 USD
202523,20767959.00 USD,14968373.16 USD,3324.16 USD
202524,371451704.00 USD,717137183.99 USD,5350.00 USD
202525,20182684.07 USD,15234156.25 USD,100.00 USD
202526,22356978.60 USD,15387107.61 USD,301.50 USD
202527,22431762.55 USD,13427677.54 USD,5573.80 USD
202528,21640897.50 USD,14393169.55 USD,25325.70 USD
202529,22167453.00 USD,4430991.00 USD,0.00 USD
202530,23041216.00 USD,0.00 USD,0.00 USD
202531,20242847.00 USD,0.00 USD,0.00 USD
202532,21480461.00 USD,0.00 USD,0.00 USD
202533,20693457.00 USD,57715.00 USD,0.00 USD
202534,14099494.00 USD,0.00 USD,0.00 USD
202535,14626361.00 USD,0.00 USD,0.00 USD
202536,13753788.00 USD,0.00 USD,0.00 USD
202537,10908900.00 USD,0.00 USD,0.00 USD
202538,9662504.00 USD,0.00 USD,0.00 USD
202539,5683282.00 USD,0.00 USD,0.00 USD
202540,6933914.00 USD,0.00 USD,0.00 USD
202541,5773397.90 USD,0.00 USD,0.00 USD
202542,3913835.00 USD,0.00 USD,0.00 USD
202543,3388000.00 USD,0.00 USD,0.00 USD
202544,3110912.00 USD,0.00 USD,0.00 USD
202545,4289878.00 USD,0.00 USD,0.00 USD
202546,3269532.00 USD,0.00 USD,0.00 USD
202547,1200556.00 USD,0.00 USD,0.00 USD
202548,2015300.00 USD,0.00 USD,0.00 USD
202549,710515.00 USD,193574.00 USD,0.00 USD
202550,1254983.00 USD,0.00 USD,0.00 USD
202551,345033.00 USD,0.00 USD,0.00 USD
202552,322020.00 USD,0.00 USD,0.00 USD
202601,17207.00 USD,0.00 USD,0.00 USD
